companyShortName,positionName,education,workYear,coooooooompanyFullName,positionAdvantage,salary,city,linestaion,companySize,financeStage
大庆高新国际工贸有限公司,WEB前端开发工程师,本科,3-5年,,"跨境电商,大宗商品,晋升空间,平台稳定",8k-10k,北京,5号线_惠新西街南口;5号线_惠新西街北口;10号线_惠新西街南口,50-150人,未融资
友友系统,前端工程师,不限,3-5年,,根据能力薪资上不封顶~,14k-28k,北京,,50-150人,D轮及以上
陌陌,Web前端工程师(视频直播）,本科,1-3年,,"核心部门,上升空间大",15k-25k,北京,,500-2000人,上市公司
INK 银客集团,前端开发工程师,本科,3-5年,,"七险一金,期权激励,成长极快,免费午餐",20k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,500-2000人,C轮
360,web前端开发工程师,本科,3-5年,,网络安全项尖团队、大牛云集,20k-35k,北京,14号线东段_望京南;14号线东段_将台,2000人以上,上市公司
便利蜂,前端工程师,本科,3-5年,,"明星团队,新零售领域,带薪假期",20k-40k,北京,,2000人以上,不需要融资
搜狐媒体,前端开发工程师,本科,1-3年,,晋升空间大，办公环境好,15k-30k,北京,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_知春路;13号线_五道口,2000人以上,上市公司
美图公司,Web前端开发工程师,本科,1-3年,,上市公司 创新项目 资源支持,10k-20k,北京,,500-2000人,上市公司
鲸准,WEB前端开发工程师,本科,3-5年,,年底双薪,10K-20K,北京,10号线_车道沟;10号线_长春桥;10号线_火器营,150-500人,D轮及以上
云帐房,WEB前端开发团队leader（技术经理）,本科,5-10年,,优秀的leader 和谐团队 好的技术平台,20k-35k,北京,1号线_建国门;2号线_朝阳门;2号线_建国门;5号线_灯市口;6号线_朝阳门,150-500人,B轮
滴滴出行,前端开发工程师(J170915012),本科,5-10年,,快速发展平台 简单开放团队,25k-40k,北京,,2000人以上,不需要融资
飞狐游戏,Web前端开发工程,不限,1-3年,,技术大牛带,8k-16k,北京,13号线_西二旗;昌平线_西二旗,15-50人,A轮
慕课网,Web前端讲师,大专,3-5年,,五险一金 补充医疗 节日福利 员工旅游,15k-25k,北京,4号线大兴线_魏公村;4号线大兴线_人民大学;10号线_长春桥,50-150人,不需要融资
